HexIndex,HexName,Palace,LineNum(1=bottom),Stem,Branch,Element,SixRel(日干=木)
22,賁,艮,2,己,丑,土,妻財
22,賁,艮,3,己,亥,水,父母
22,賁,艮,4,丙,戌,土,妻財
22,賁,艮,5,丙,子,水,父母
22,賁,艮,6,丙,寅,木,兄弟
23,剝,乾,1,乙,未,土,妻財
23,剝,乾,2,乙,巳,火,子孫
23,剝,乾,3,乙,卯,木,兄弟
23,剝,乾,4,丙,戌,土,妻財
23,剝,乾,5,丙,子,水,父母
23,剝,乾,6,丙,寅,木,兄弟
24,復,坤,1,庚,子,水,父母
24,復,坤,2,庚,寅,木,兄弟
24,復,坤,3,庚,辰,土,妻財
24,復,坤,4,癸,丑,土,妻財
24,復,坤,5,癸,亥,水,父母
24,復,坤,6,癸,酉,金,官鬼
25,无妄,巽,1,庚,子,水,父母
25,无妄,巽,2,庚,寅,木,兄弟
25,无妄,巽,3,庚,辰,土,妻財
25,无妄,巽,4,壬,午,火,子孫
25,无妄,巽,5,壬,申,金,官鬼
25,无妄,巽,6,壬,戌,土,妻財
26,大畜,艮,1,甲,子,水,父母
26,大畜,艮,2,甲,寅,木,兄弟
26,大畜,艮,3,甲,辰,土,妻財
26,大畜,艮,4,丙,戌,土,妻財
26,大畜,艮,5,丙,子,水,父母
26,大畜,艮,6,丙,寅,木,兄弟
27,頤,巽,1,庚,子,水,父母
27,頤,巽,2,庚,寅,木,兄弟
27,頤,巽,3,庚,辰,土,妻財
27,頤,巽,4,丙,戌,土,妻財
27,頤,巽,5,丙,子,水,父母
27,頤,巽,6,丙,寅,木,兄弟
28,大過,震,1,辛,丑,土,妻財
28,大過,震,2,辛,亥,水,父母
28,大過,震,3,辛,酉,金,官鬼
28,大過,震,4,丁,亥,水,父母
28,大過,震,5,丁,酉,金,官鬼
28,大過,震,6,丁,未,土,妻財
29,坎,坎,1,戊,寅,木,兄弟
29,坎,坎,2,戊,辰,土,妻財
29,坎,坎,3,戊,午,火,子孫
29,坎,坎,4,戊,申,金,官鬼
29,坎,坎,5,戊,戌,土,妻財
29,坎,坎,6,戊,子,水,父母
30,離,離,1,己,卯,木,兄弟
30,離,離,2,己,丑,土,妻財
30,離,離,3,己,亥,水,父母
30,離,離,4,己,酉,金,官鬼
30,離,離,5,己,未,土,妻財
30,離,離,6,己,巳,火,子孫
31,咸,兌,1,丙,辰,土,妻財
31,咸,兌,2,丙,午,火,子孫
31,咸,兌,3,丙,申,金,官鬼
31,咸,兌,4,丁,亥,水,父母
31,咸,兌,5,丁,酉,金,官鬼
31,咸,兌,6,丁,未,土,妻財
32,恒,震,1,辛,丑,土,妻財
32,恒,震,2,辛,亥,水,父母
32,恒,震,3,辛,酉,金,官鬼
32,恒,震,4,庚,午,火,子孫
32,恒,震,5,庚,申,金,官鬼
32,恒,震,6,庚,戌,土,妻財
33,遯,乾,1,丙,辰,土,妻財
33,遯,乾,2,丙,午,火,子孫
33,遯,乾,3,丙,申,金,官鬼
33,遯,乾,4,壬,午,火,子孫
33,遯,乾,5,壬,申,金,官鬼
33,遯,乾,6,壬,戌,土,妻財
34,大壯,坤,1,甲,子,水,父母
34,大壯,坤,2,甲,寅,木,兄弟
34,大壯,坤,3,甲,辰,土,妻財
34,大壯,坤,4,庚,午,火,子孫
34,大壯,坤,5,庚,申,金,官鬼
34,大壯,坤,6,庚,戌,土,妻財
35,晉,乾,1,乙,未,土,妻財
35,晉,乾,2,乙,巳,火,子孫
35,晉,乾,3,乙,卯,木,兄弟
